Date,Open,High,Low,Close,Adj Close,Volume
8/7/2012,4.19,4.19,4.19,4.19,4.09876,0
8/8/2012,4.19,4.19,4.19,4.19,4.09876,0
8/9/2012,4.19,4.19,4.19,4.19,4.09876,0
8/10/2012,4.19,4.19,4.19,4.19,4.09876,0
8/13/2012,4.19,4.19,4.19,4.19,4.09876,0
8/14/2012,4.19,4.19,4.19,4.19,4.09876,0
8/15/2012,4.19,4.19,4.19,4.19,4.09876,0
8/16/2012,4.19,4.19,4.19,4.19,4.09876,0
8/17/2012,4.19,4.19,4.19,4.19,4.09876,0
8/20/2012,4.19,4.19,4.19,4.19,4.09876,0
8/21/2012,4.19,4.19,4.19,4.19,4.09876,0
8/22/2012,4.19,4.19,4.19,4.19,4.09876,0
8/23/2012,4.19,4.19,4.19,4.19,4.09876,0
8/24/2012,4.19,4.19,4.19,4.19,4.09876,0
8/27/2012,4.19,4.19,4.19,4.19,4.09876,0
8/28/2012,4.19,4.19,4.19,4.19,4.09876,0
8/29/2012,4.19,4.19,4.19,4.19,4.09876,0
8/30/2012,4.19,4.19,4.19,4.19,4.09876,0
8/31/2012,4.19,4.19,4.19,4.19,4.09876,0
9/4/2012,4.19,4.19,4.19,4.19,4.09876,0
9/5/2012,4.19,4.19,4.19,4.19,4.09876,0
9/6/2012,4.19,4.19,4.19,4.19,4.09876,0
9/7/2012,4.19,4.19,4.19,4.19,4.09876,0
9/10/2012,4.19,4.19,4.19,4.19,4.09876,0
9/11/2012,4.19,4.19,4.19,4.19,4.09876,0
9/12/2012,4.19,4.19,4.19,4.19,4.09876,0
9/13/2012,4.19,4.19,4.19,4.19,4.09876,0
9/14/2012,4.19,4.19,4.19,4.19,4.09876,0
9/17/2012,4.19,4.19,4.19,4.19,4.09876,0
9/18/2012,4.19,4.19,4.19,4.19,4.09876,0
9/19/2012,4.19,4.19,4.19,4.19,4.09876,0
9/20/2012,4.19,4.19,4.19,4.19,4.09876,0
9/21/2012,4.19,4.19,4.19,4.19,4.09876,0
9/24/2012,4.19,4.19,4.19,4.19,4.09876,0
9/25/2012,null,null,null,null,null,null
9/26/2012,null,null,null,null,null,null
9/27/2012,null,null,null,null,null,null
9/28/2012,null,null,null,null,null,null
10/1/2012,null,null,null,null,null,null
10/2/2012,null,null,null,null,null,null
10/3/2012,null,null,null,null,null,null
10/4/2012,null,null,null,null,null,null
10/5/2012,null,null,null,null,null,null
10/8/2012,null,null,null,null,null,null
10/9/2012,null,null,null,null,null,null
10/10/2012,null,null,null,null,null,null
10/11/2012,null,null,null,null,null,null
10/12/2012,null,null,null,null,null,null
10/15/2012,null,null,null,null,null,null
10/16/2012,null,null,null,null,null,null
10/17/2012,null,null,null,null,null,null
10/18/2012,null,null,null,null,null,null
10/19/2012,null,null,null,null,null,null
10/22/2012,null,null,null,null,null,null
10/23/2012,null,null,null,null,null,null
10/24/2012,null,null,null,null,null,null
10/25/2012,null,null,null,null,null,null
10/26/2012,null,null,null,null,null,null
10/31/2012,null,null,null,null,null,null
11/1/2012,null,null,null,null,null,null
11/2/2012,null,null,null,null,null,null
11/5/2012,null,null,null,null,null,null
11/6/2012,null,null,null,null,null,null
11/7/2012,null,null,null,null,null,null
11/8/2012,null,null,null,null,null,null
11/9/2012,null,null,null,null,null,null
11/12/2012,null,null,null,null,null,null
11/13/2012,null,null,null,null,null,null
11/14/2012,null,null,null,null,null,null
11/15/2012,null,null,null,null,null,null
11/16/2012,null,null,null,null,null,null
11/19/2012,null,null,null,null,null,null
11/20/2012,null,null,null,null,null,null
11/21/2012,null,null,null,null,null,null
11/23/2012,null,null,null,null,null,null
11/26/2012,null,null,null,null,null,null
11/27/2012,null,null,null,null,null,null
11/28/2012,null,null,null,null,null,null
11/29/2012,null,null,null,null,null,null
11/30/2012,null,null,null,null,null,null
12/3/2012,null,null,null,null,null,null
12/4/2012,null,null,null,null,null,null
12/5/2012,null,null,null,null,null,null
12/6/2012,null,null,null,null,null,null
12/7/2012,null,null,null,null,null,null
12/10/2012,null,null,null,null,null,null
12/11/2012,null,null,null,null,null,null
12/12/2012,null,null,null,null,null,null
12/13/2012,null,null,null,null,null,null
12/14/2012,null,null,null,null,null,null
12/17/2012,null,null,null,null,null,null
12/18/2012,null,null,null,null,null,null
12/19/2012,null,null,null,null,null,null
12/20/2012,null,null,null,null,null,null
12/21/2012,null,null,null,null,null,null
12/24/2012,null,null,null,null,null,null
12/26/2012,null,null,null,null,null,null
12/27/2012,null,null,null,null,null,null
12/28/2012,null,null,null,null,null,null
12/31/2012,null,null,null,null,null,null
1/2/2013,null,null,null,null,null,null
1/3/2013,null,null,null,null,null,null
1/4/2013,null,null,null,null,null,null
1/7/2013,null,null,null,null,null,null
1/8/2013,null,null,null,null,null,null
1/9/2013,null,null,null,null,null,null
1/10/2013,null,null,null,null,null,null
1/11/2013,null,null,null,null,null,null
1/14/2013,null,null,null,null,null,null
1/15/2013,null,null,null,null,null,null
1/16/2013,null,null,null,null,null,null
1/17/2013,null,null,null,null,null,null
1/18/2013,null,null,null,null,null,null
1/22/2013,null,null,null,null,null,null
1/23/2013,null,null,null,null,null,null
1/24/2013,null,null,null,null,null,null
1/25/2013,null,null,null,null,null,null
1/28/2013,null,null,null,null,null,null
1/29/2013,null,null,null,null,null,null
1/30/2013,null,null,null,null,null,null
1/31/2013,null,null,null,null,null,null
2/1/2013,null,null,null,null,null,null
2/4/2013,null,null,null,null,null,null
2/5/2013,null,null,null,null,null,null
2/6/2013,null,null,null,null,null,null
2/7/2013,null,null,null,null,null,null
2/8/2013,null,null,null,null,null,null
2/11/2013,null,null,null,null,null,null
2/12/2013,null,null,null,null,null,null
2/13/2013,null,null,null,null,null,null
2/14/2013,null,null,null,null,null,null
2/15/2013,null,null,null,null,null,null
2/19/2013,null,null,null,null,null,null
2/20/2013,null,null,null,null,null,null
2/21/2013,null,null,null,null,null,null
2/22/2013,null,null,null,null,null,null
2/25/2013,null,null,null,null,null,null
2/26/2013,null,null,null,null,null,null
2/27/2013,null,null,null,null,null,null
2/28/2013,null,null,null,null,null,null
3/1/2013,null,null,null,null,null,null
3/4/2013,null,null,null,null,null,null
3/5/2013,null,null,null,null,null,null
3/6/2013,null,null,null,null,null,null
3/7/2013,null,null,null,null,null,null
3/8/2013,null,null,null,null,null,null
3/11/2013,null,null,null,null,null,null
3/12/2013,null,null,null,null,null,null
3/13/2013,null,null,null,null,null,null
3/14/2013,null,null,null,null,null,null
3/15/2013,null,null,null,null,null,null
3/18/2013,null,null,null,null,null,null
3/19/2013,null,null,null,null,null,null
3/20/2013,null,null,null,null,null,null
3/21/2013,null,null,null,null,null,null
3/22/2013,null,null,null,null,null,null
3/25/2013,null,null,null,null,null,null
3/26/2013,null,null,null,null,null,null
3/27/2013,null,null,null,null,null,null
3/28/2013,null,null,null,null,null,null
4/1/2013,null,null,null,null,null,null
4/2/2013,null,null,null,null,null,null
4/3/2013,null,null,null,null,null,null
4/4/2013,null,null,null,null,null,null
4/5/2013,null,null,null,null,null,null
4/8/2013,null,null,null,null,null,null
4/9/2013,null,null,null,null,null,null
4/10/2013,null,null,null,null,null,null
4/11/2013,null,null,null,null,null,null
4/12/2013,null,null,null,null,null,null
4/15/2013,null,null,null,null,null,null
4/16/2013,null,null,null,null,null,null
4/17/2013,null,null,null,null,null,null
4/18/2013,null,null,null,null,null,null
4/19/2013,null,null,null,null,null,null
4/22/2013,null,null,null,null,null,null
4/23/2013,null,null,null,null,null,null
4/24/2013,null,null,null,null,null,null
4/25/2013,null,null,null,null,null,null
4/26/2013,null,null,null,null,null,null
4/29/2013,null,null,null,null,null,null
4/30/2013,null,null,null,null,null,null
5/1/2013,null,null,null,null,null,null
5/2/2013,null,null,null,null,null,null
5/3/2013,null,null,null,null,null,null
5/6/2013,null,null,null,null,null,null
5/7/2013,null,null,null,null,null,null
5/8/2013,null,null,null,null,null,null
5/9/2013,null,null,null,null,null,null
5/10/2013,null,null,null,null,null,null
5/13/2013,null,null,null,null,null,null
5/14/2013,null,null,null,null,null,null
5/15/2013,null,null,null,null,null,null
5/16/2013,null,null,null,null,null,null
5/17/2013,null,null,null,null,null,null
5/20/2013,null,null,null,null,null,null
5/21/2013,null,null,null,null,null,null
5/22/2013,null,null,null,null,null,null
5/23/2013,null,null,null,null,null,null
5/24/2013,null,null,null,null,null,null
5/28/2013,null,null,null,null,null,null
5/29/2013,null,null,null,null,null,null
5/30/2013,null,null,null,null,null,null
5/31/2013,null,null,null,null,null,null
6/3/2013,null,null,null,null,null,null
6/4/2013,null,null,null,null,null,null
6/5/2013,null,null,null,null,null,null
6/6/2013,null,null,null,null,null,null
6/7/2013,null,null,null,null,null,null
6/10/2013,null,null,null,null,null,null
6/11/2013,null,null,null,null,null,null
6/12/2013,null,null,null,null,null,null
6/13/2013,null,null,null,null,null,null
6/14/2013,null,null,null,null,null,null
6/17/2013,null,null,null,null,null,null
6/18/2013,null,null,null,null,null,null
6/19/2013,null,null,null,null,null,null
6/20/2013,null,null,null,null,null,null
6/21/2013,null,null,null,null,null,null
6/24/2013,null,null,null,null,null,null
6/25/2013,null,null,null,null,null,null
6/26/2013,null,null,null,null,null,null
6/27/2013,null,null,null,null,null,null
6/28/2013,null,null,null,null,null,null
7/1/2013,null,null,null,null,null,null
7/2/2013,null,null,null,null,null,null
7/3/2013,null,null,null,null,null,null
7/5/2013,null,null,null,null,null,null
7/8/2013,null,null,null,null,null,null
7/9/2013,null,null,null,null,null,null
7/10/2013,null,null,null,null,null,null
7/11/2013,null,null,null,null,null,null
7/12/2013,null,null,null,null,null,null
7/15/2013,null,null,null,null,null,null
7/16/2013,null,null,null,null,null,null
7/17/2013,null,null,null,null,null,null
7/18/2013,null,null,null,null,null,null
7/19/2013,null,null,null,null,null,null
7/22/2013,null,null,null,null,null,null
7/23/2013,null,null,null,null,null,null
7/24/2013,null,null,null,null,null,null
7/25/2013,null,null,null,null,null,null
7/26/2013,null,null,null,null,null,null
7/29/2013,null,null,null,null,null,null
7/30/2013,null,null,null,null,null,null
7/31/2013,null,null,null,null,null,null
8/1/2013,null,null,null,null,null,null
8/2/2013,null,null,null,null,null,null
8/5/2013,null,null,null,null,null,null
8/6/2013,null,null,null,null,null,null
8/7/2013,null,null,null,null,null,null
8/8/2013,null,null,null,null,null,null
8/9/2013,null,null,null,null,null,null
8/12/2013,null,null,null,null,null,null
8/13/2013,null,null,null,null,null,null
8/14/2013,null,null,null,null,null,null
8/15/2013,null,null,null,null,null,null
8/16/2013,null,null,null,null,null,null
8/19/2013,null,null,null,null,null,null
8/20/2013,null,null,null,null,null,null
8/21/2013,null,null,null,null,null,null
8/22/2013,null,null,null,null,null,null
8/23/2013,null,null,null,null,null,null
8/26/2013,null,null,null,null,null,null
8/27/2013,null,null,null,null,null,null
8/28/2013,null,null,null,null,null,null
8/29/2013,null,null,null,null,null,null
8/30/2013,null,null,null,null,null,null
9/3/2013,null,null,null,null,null,null
9/4/2013,null,null,null,null,null,null
9/5/2013,null,null,null,null,null,null
9/6/2013,null,null,null,null,null,null
9/9/2013,null,null,null,null,null,null
9/10/2013,null,null,null,null,null,null
9/11/2013,null,null,null,null,null,null
9/12/2013,null,null,null,null,null,null
9/13/2013,null,null,null,null,null,null
9/16/2013,null,null,null,null,null,null
9/17/2013,null,null,null,null,null,null
9/18/2013,null,null,null,null,null,null
9/19/2013,null,null,null,null,null,null
9/20/2013,null,null,null,null,null,null
9/23/2013,null,null,null,null,null,null
9/24/2013,null,null,null,null,null,null
9/25/2013,null,null,null,null,null,null
9/26/2013,null,null,null,null,null,null
9/27/2013,null,null,null,null,null,null
9/30/2013,null,null,null,null,null,null
10/1/2013,null,null,null,null,null,null
10/2/2013,null,null,null,null,null,null
10/3/2013,null,null,null,null,null,null
10/4/2013,null,null,null,null,null,null
10/7/2013,null,null,null,null,null,null
10/8/2013,null,null,null,null,null,null
10/9/2013,null,null,null,null,null,null
10/10/2013,null,null,null,null,null,null
10/11/2013,null,null,null,null,null,null
10/14/2013,null,null,null,null,null,null
10/15/2013,null,null,null,null,null,null
10/16/2013,null,null,null,null,null,null
10/17/2013,null,null,null,null,null,null
10/18/2013,null,null,null,null,null,null
10/21/2013,null,null,null,null,null,null
10/22/2013,null,null,null,null,null,null
10/23/2013,null,null,null,null,null,null
10/24/2013,null,null,null,null,null,null
10/25/2013,null,null,null,null,null,null
10/28/2013,null,null,null,null,null,null
10/29/2013,null,null,null,null,null,null
10/30/2013,null,null,null,null,null,null
10/31/2013,null,null,null,null,null,null
11/1/2013,null,null,null,null,null,null
11/4/2013,null,null,null,null,null,null
11/5/2013,null,null,null,null,null,null
11/6/2013,null,null,null,null,null,null
11/7/2013,null,null,null,null,null,null
11/8/2013,null,null,null,null,null,null
11/11/2013,null,null,null,null,null,null
11/12/2013,null,null,null,null,null,null
11/13/2013,null,null,null,null,null,null
11/14/2013,null,null,null,null,null,null
11/15/2013,null,null,null,null,null,null
11/18/2013,null,null,null,null,null,null
11/19/2013,null,null,null,null,null,null
11/20/2013,null,null,null,null,null,null
11/21/2013,null,null,null,null,null,null
11/22/2013,null,null,null,null,null,null
11/25/2013,null,null,null,null,null,null
11/26/2013,null,null,null,null,null,null
11/27/2013,null,null,null,null,null,null
11/29/2013,null,null,null,null,null,null
12/2/2013,null,null,null,null,null,null
12/3/2013,null,null,null,null,null,null
12/4/2013,null,null,null,null,null,null
12/5/2013,null,null,null,null,null,null
12/6/2013,null,null,null,null,null,null
12/9/2013,null,null,null,null,null,null
12/10/2013,null,null,null,null,null,null
12/11/2013,null,null,null,null,null,null
12/12/2013,null,null,null,null,null,null
12/13/2013,null,null,null,null,null,null
12/16/2013,null,null,null,null,null,null
12/17/2013,null,null,null,null,null,null
12/18/2013,null,null,null,null,null,null
12/19/2013,null,null,null,null,null,null
12/20/2013,null,null,null,null,null,null
12/23/2013,null,null,null,null,null,null
12/24/2013,null,null,null,null,null,null
12/26/2013,null,null,null,null,null,null
12/27/2013,null,null,null,null,null,null
12/30/2013,null,null,null,null,null,null
12/31/2013,null,null,null,null,null,null
1/2/2014,null,null,null,null,null,null
1/3/2014,null,null,null,null,null,null
1/6/2014,null,null,null,null,null,null
1/7/2014,null,null,null,null,null,null
1/8/2014,null,null,null,null,null,null
1/9/2014,null,null,null,null,null,null
1/10/2014,null,null,null,null,null,null
1/13/2014,null,null,null,null,null,null
1/14/2014,null,null,null,null,null,null
1/15/2014,null,null,null,null,null,null
1/16/2014,null,null,null,null,null,null
1/17/2014,null,null,null,null,null,null
1/21/2014,null,null,null,null,null,null
1/22/2014,null,null,null,null,null,null
1/23/2014,null,null,null,null,null,null
1/24/2014,null,null,null,null,null,null
1/27/2014,null,null,null,null,null,null
1/28/2014,null,null,null,null,null,null
1/29/2014,null,null,null,null,null,null
1/30/2014,null,null,null,null,null,null
1/31/2014,null,null,null,null,null,null
2/3/2014,null,null,null,null,null,null
2/4/2014,null,null,null,null,null,null
2/5/2014,null,null,null,null,null,null
2/6/2014,null,null,null,null,null,null
2/7/2014,null,null,null,null,null,null
2/10/2014,null,null,null,null,null,null
2/11/2014,null,null,null,null,null,null
2/12/2014,null,null,null,null,null,null
2/13/2014,null,null,null,null,null,null
2/14/2014,null,null,null,null,null,null
2/18/2014,null,null,null,null,null,null
2/19/2014,null,null,null,null,null,null
2/20/2014,null,null,null,null,null,null
2/21/2014,null,null,null,null,null,null
2/24/2014,null,null,null,null,null,null
2/25/2014,null,null,null,null,null,null
2/26/2014,null,null,null,null,null,null
2/27/2014,null,null,null,null,null,null
2/28/2014,null,null,null,null,null,null
3/3/2014,null,null,null,null,null,null
3/4/2014,null,null,null,null,null,null
3/5/2014,null,null,null,null,null,null
3/6/2014,null,null,null,null,null,null
3/7/2014,null,null,null,null,null,null
3/10/2014,null,null,null,null,null,null
3/11/2014,null,null,null,null,null,null
3/12/2014,null,null,null,null,null,null
3/13/2014,null,null,null,null,null,null
3/14/2014,null,null,null,null,null,null
3/17/2014,null,null,null,null,null,null
3/18/2014,null,null,null,null,null,null
3/19/2014,null,null,null,null,null,null
3/20/2014,null,null,null,null,null,null
3/21/2014,null,null,null,null,null,null
3/24/2014,null,null,null,null,null,null
3/25/2014,null,null,null,null,null,null
3/26/2014,null,null,null,null,null,null
3/27/2014,null,null,null,null,null,null
3/28/2014,null,null,null,null,null,null
3/31/2014,null,null,null,null,null,null
4/1/2014,null,null,null,null,null,null
4/2/2014,null,null,null,null,null,null
4/3/2014,null,null,null,null,null,null
4/4/2014,null,null,null,null,null,null
4/7/2014,null,null,null,null,null,null
4/8/2014,null,null,null,null,null,null
4/9/2014,null,null,null,null,null,null
4/10/2014,null,null,null,null,null,null
4/11/2014,null,null,null,null,null,null
4/14/2014,null,null,null,null,null,null
4/15/2014,null,null,null,null,null,null
4/16/2014,null,null,null,null,null,null
4/17/2014,null,null,null,null,null,null
4/21/2014,null,null,null,null,null,null
4/22/2014,null,null,null,null,null,null
4/23/2014,null,null,null,null,null,null
4/24/2014,null,null,null,null,null,null
4/25/2014,null,null,null,null,null,null
4/28/2014,null,null,null,null,null,null
4/29/2014,null,null,null,null,null,null
4/30/2014,null,null,null,null,null,null
5/1/2014,null,null,null,null,null,null
5/2/2014,null,null,null,null,null,null
5/5/2014,null,null,null,null,null,null
5/6/2014,null,null,null,null,null,null
5/7/2014,null,null,null,null,null,null
5/8/2014,null,null,null,null,null,null
5/9/2014,null,null,null,null,null,null
5/12/2014,null,null,null,null,null,null
5/13/2014,null,null,null,null,null,null
5/14/2014,null,null,null,null,null,null
5/15/2014,null,null,null,null,null,null
5/16/2014,null,null,null,null,null,null
5/19/2014,null,null,null,null,null,null
5/20/2014,null,null,null,null,null,null
5/21/2014,null,null,null,null,null,null
5/22/2014,null,null,null,null,null,null
5/23/2014,null,null,null,null,null,null
5/27/2014,null,null,null,null,null,null
5/28/2014,null,null,null,null,null,null
5/29/2014,null,null,null,null,null,null
5/30/2014,null,null,null,null,null,null
6/2/2014,null,null,null,null,null,null
6/3/2014,null,null,null,null,null,null
6/4/2014,null,null,null,null,null,null
6/5/2014,null,null,null,null,null,null
6/6/2014,null,null,null,null,null,null
6/9/2014,null,null,null,null,null,null
6/10/2014,null,null,null,null,null,null
6/11/2014,null,null,null,null,null,null
6/12/2014,null,null,null,null,null,null
6/13/2014,null,null,null,null,null,null
6/16/2014,null,null,null,null,null,null
6/17/2014,null,null,null,null,null,null
6/18/2014,null,null,null,null,null,null
6/19/2014,null,null,null,null,null,null
6/20/2014,null,null,null,null,null,null
6/23/2014,null,null,null,null,null,null
6/24/2014,null,null,null,null,null,null
6/25/2014,null,null,null,null,null,null
6/26/2014,null,null,null,null,null,null
6/27/2014,null,null,null,null,null,null
6/30/2014,null,null,null,null,null,null
7/1/2014,null,null,null,null,null,null
7/2/2014,null,null,null,null,null,null
7/3/2014,null,null,null,null,null,null
7/7/2014,null,null,null,null,null,null
7/8/2014,null,null,null,null,null,null
7/9/2014,null,null,null,null,null,null
7/10/2014,null,null,null,null,null,null
7/11/2014,null,null,null,null,null,null
7/14/2014,3.146,3.146,3.146,3.146,3.077494,0
7/15/2014,3.167,3.167,3.167,3.167,3.098037,0
7/16/2014,3.211,3.211,3.211,3.211,3.141079,0
7/17/2014,3.213,3.213,3.213,3.213,3.143036,0
7/18/2014,3.153,3.153,3.153,3.153,3.084342,0
7/21/2014,3.152,3.152,3.152,3.152,3.083364,0
7/22/2014,3.161,3.161,3.161,3.161,3.092168,0
7/23/2014,3.186,3.186,3.186,3.186,3.116624,0
7/24/2014,3.2,3.2,3.2,3.2,3.130319,0
7/25/2014,3.27,3.27,3.27,3.27,3.198794,0
7/28/2014,3.298,3.298,3.298,3.298,3.226185,0
7/29/2014,3.307,3.307,3.307,3.307,3.234988,0
7/30/2014,3.302,3.302,3.302,3.302,3.230097,0
7/31/2014,3.24,3.24,3.24,3.24,3.169448,0
8/1/2014,3.216,3.216,3.216,3.216,3.14597,0
8/4/2014,3.243,3.243,3.243,3.243,3.172382,0
8/5/2014,3.19,3.19,3.19,3.19,3.120537,0
8/6/2014,3.16,3.161,3.16,3.161,3.092168,0
8/7/2014,3.206,3.206,3.205,3.205,3.13521,0
8/8/2014,3.143,3.143,3.143,3.143,3.07456,0
8/11/2014,3.247,3.247,3.247,3.247,3.176296,0
8/12/2014,3.219,3.219,3.219,3.219,3.148905,0
8/13/2014,3.24,3.24,3.24,3.24,3.169448,0
8/14/2014,3.322,3.322,3.322,3.322,3.249662,0
8/15/2014,3.299,3.299,3.299,3.299,3.227163,0
8/18/2014,3.284,3.284,3.282,3.282,3.210533,0
8/19/2014,3.291,3.291,3.291,3.291,3.219337,0
8/20/2014,3.264,3.264,3.264,3.264,3.192925,0
8/21/2014,3.234,3.234,3.234,3.234,3.163579,0
8/22/2014,3.206,3.206,3.206,3.206,3.136188,0
8/25/2014,3.215,3.215,3.215,3.215,3.144992,0
8/26/2014,3.222,3.222,3.222,3.222,3.15184,0
8/27/2014,3.259,3.259,3.259,3.259,3.188034,0
